DC,KID,LPH,Mass,Prot,Prot_err,Teff,logg,w
0,11923405,0.34600000000000003,0.9893,42.39,9.886000000000001,5591,4.66,0.1378
0,11923450,0.308,1.2158,4.691,0.391,6333,4.23,0.246
0,11923715,0.14400000000000002,1.1338,17.633,0.157,6086,4.39,0.0656
0,11923803,0.19,1.0351,58.659,1.348,5756,4.15,0.0028
0,11923961,0.439,1.1924,17.53,0.574,6265,4.21,0.2495
0,11924268,0.436,0.9109,40.108000000000004,2.39,5296,4.42,0.2169
0,11924295,0.20199999999999999,1.136,52.566,4.484,6093,4.49,0.0012
0,11924404,0.385,1.0769,57.081,15.565,5900,4.55,0.1307
0,11924433,0.253,1.016,57.67,1.4480000000000002,5688,4.62,0.0276
0,11924462,0.24,1.111,12.07,0.136,6013,4.41,0.1944
0,11924589,0.265,1.1414,15.003,0.155,6110,4.31,0.1713
0,11924842,0.192,0.9141,0.846,0.008,5308,4.48,0.0625
0,11925068,0.256,1.2654,1.376,0.004,6471,4.15,0.1945
0,11925921,0.121,1.0118,56.591,3.241,5673,4.03,0.0049
0,11925997,0.327,0.9,23.06,0.6970000000000001,5254,4.53,0.2023
0,11926181,0.244,1.1064,67.237,12.168,5998,3.97,0.0019
0,11926316,0.308,1.0736,17.442999999999998,0.857,5889,4.41,0.2366
0,11952981,0.157,1.0357,48.663000000000004,18.046,5758,4.65,0.0078
0,11953339,0.22699999999999998,0.972,26.92,0.341,5527,4.72,0.1536
0,11953525,0.16,0.8754,52.382,12.136,5159,4.48,0.0121
0,11953670,0.313,0.9295,38.099000000000004,5.477,5367,4.48,0.1424
0,11953694,0.371,0.7706,39.163000000000004,0.74,4757,4.44,0.2151
0,11953741,0.18100000000000002,0.7309,32.418,5.893,4610,4.48,0.0738
0,11953764,0.07200000000000001,0.9102,1.379,0.067,5293,3.83,0.0056
0,11953858,0.207,1.0241,43.881,6.274,5717,4.85,0.0183
0,11953957,0.348,0.9408,37.525999999999996,4.2780000000000005,5410,4.83,0.1675
0,11954040,0.261,0.8438,51.342,9.991,5037,4.49,0.054
0,11954390,0.147,0.9793,31.519000000000002,2.647,5554,4.38,0.0707
