,KID,Teff,logg,Mass,Prot,Prot_err,Rper,LPH,w,DC,Flag
11404,5282345,5711,4.47,1.0224,7.975,0.185,4932.4,0.9570000000000001,0.5661,0,---
11405,5282827,5515,4.14,0.9687,29.993000000000002,0.9009999999999999,1041.05,0.688,0.3944,0,---
11406,5282849,5114,4.49,0.8638,39.113,0.619,5588.62,0.58,0.3085,0,---
11407,5282890,5492,4.72,0.9626,20.658,2.873,6644.61,0.777,0.5058,0,---
11408,5282952,6100,4.54,1.1382,9.111,0.276,1325.82,0.36,0.2859,0,---
11409,5283112,5317,4.84,0.9164,20.028,0.165,6847.83,1.183,0.6263,0,---
11410,5283113,4907,4.56,0.8101,20.208,0.069,22490.26,1.232,0.6547,0,---
11411,5283141,5360,5.07,0.9277,8.161,0.028999999999999998,11424.69,1.125,0.6128,0,---
11412,5283268,5581,4.64,0.9866,13.626,0.17600000000000002,2828.42,0.506,0.3294,0,---
11413,5283331,5367,4.58,0.9295,9.267000000000001,0.02,13864.64,1.347,0.7301,0,---
11414,5283351,5090,4.61,0.8576,30.283,3.841,4358.2,0.426,0.3093,0,---
11415,5283399,4869,4.37,0.8001,10.191,0.024,17561.14,1.4480000000000002,0.7595,0,---
11416,5283406,5054,4.6,0.8482,34.175,0.622,3965.56,0.494,0.3015,0,---
11417,5283568,5687,4.41,1.0157,14.907,0.8759999999999999,1685.26,0.6409999999999999,0.4435,0,---
11418,5283930,5702,4.54,1.0199,15.227,0.163,713.44,0.642,0.4497,0,---
11419,5284103,4995,4.38,0.833,30.673000000000002,0.315,3452.96,0.682,0.4242,0,---
11420,5284595,5771,4.7,1.0394,2.1919999999999997,0.054000000000000006,2348.15,0.43700000000000006,0.2592,0,---
11421,5284823,5182,4.41,0.8813,10.306,0.011000000000000001,14369.43,1.485,0.7354,0,---
11422,5284840,4568,4.91,0.7193,25.432,0.66,3787.49,0.934,0.5809,0,---
11423,5285056,5581,4.86,0.9866,16.988,0.07,4401.5,0.6709999999999999,0.4645,0,---
11424,5285194,4938,4.66,0.8182,7.9239999999999995,0.009000000000000001,30103.98,1.3869999999999998,0.7051,0,---
11425,5285359,5398,3.86,0.9376,18.105999999999998,0.08900000000000001,12277.9,1.228,0.6452,0,---
11426,5285380,5873,4.61,1.0689,7.914,0.015,16198.31,1.209,0.6929,0,---
11427,5285394,5138,4.61,0.87,33.389,3.6010000000000004,5269.17,0.59,0.3472,0,---
11428,5285693,5789,4.47,1.0445,13.94,0.037000000000000005,11846.96,1.133,0.6338,0,---
11429,5285744,6110,4.53,1.1414,5.4910000000000005,0.026000000000000002,454.31,0.586,0.4039,0,---
11430,5285768,5811,4.4,1.0509,8.747,0.011000000000000001,14560.82,1.165,0.6776,0,---
11431,5285825,5997,4.68,1.1061,13.220999999999998,1.875,1461.12,0.519,0.3842,0,---
11432,5286138,5097,4.58,0.8594,31.651999999999997,4.739,6800.29,0.5670000000000001,0.35600000000000004,0,---
11433,5286142,5499,4.48,0.9645,16.143,2.557,2089.74,0.48,0.3146,0,---
11434,5286275,5940,4.55,1.0888,2.41,0.006,2626.54,0.659,0.4036,0,---
11435,5286368,5364,4.5,0.9287,19.909000000000002,0.45399999999999996,2235.65,0.679,0.4586,0,---
11436,5286386,5212,4.69,0.8891,17.335,0.086,27122.91,1.317,0.6673,0,---
11437,5286548,5247,4.69,0.8982,4.872,0.013000000000000001,5980.01,1.374,0.6916,0,---
11438,5286550,5875,4.67,1.0695,6.2829999999999995,0.013999999999999999,5296.59,1.319,0.721,0,---
11439,5286679,4490,4.49,0.6976,24.551,0.359,21117.45,1.273,0.6365,0,---
11440,5286949,5209,4.78,0.8883,14.85,0.023,21934.24,1.48,0.6957,0,---
11441,5287033,5168,4.8,0.8777,24.421999999999997,0.172,7670.1,0.7759999999999999,0.5064,0,---
11442,5287185,5822,4.56,1.054,4.122,0.125,15060.57,1.295,0.6875,0,---
11443,5287248,5067,4.58,0.8516,14.216,0.203,8941.17,1.28,0.7118,0,---
11444,5287296,4833,4.62,0.7907,27.647,3.261,4967.81,0.57,0.3892,0,---
11445,5287440,6058,3.99,1.1249,2.271,0.005,3361.17,1.4080000000000001,0.7319,0,---
11446,5287460,5957,4.51,1.0939,6.135,0.015,6479.83,1.1320000000000001,0.6529,0,---
11447,5287542,4503,4.55,0.7012,17.004,0.078,10766.03,1.472,0.7012,0,---
11448,5287615,5366,4.51,0.9292,27.34,3.077,3637.37,0.45899999999999996,0.3204,0,---
11449,5288041,5797,4.45,1.0468,27.218000000000004,4.906000000000001,1364.59,0.555,0.319,0,---
11450,5288735,5542,4.53,0.976,5.269,0.11199999999999999,14955.49,1.54,0.7811,0,---
11451,5288744,5764,4.18,1.0374,5.3870000000000005,0.043,5111.9,1.4180000000000001,0.7477,0,---
11452,5288880,6032,4.52,1.1169,11.36,0.359,532.98,0.46799999999999997,0.3699,0,---
11453,5288896,5701,4.93,1.0196,18.779,2.116,2343.74,0.35700000000000004,0.276,0,---
11454,5289138,5846,4.42,1.061,5.904,0.046,6514.82,1.229,0.6778,0,---
11455,5289416,5927,4.5,1.0849,10.744000000000002,0.5720000000000001,1393.35,0.39899999999999997,0.2845,0,---
11456,5289857,4797,4.02,0.7812,18.357,0.086,5135.74,1.075,0.6298,0,---
11457,5290060,6163,4.55,1.1585,3.425,0.08900000000000001,2541.18,0.618,0.4127,0,---
11458,5290153,4975,4.35,0.8278,0.54,0.004,49026.13,1.228,0.6051,0,---
11459,5290338,5651,4.87,1.0058,4.324,0.023,21498.38,1.588,0.7899,0,---
